Name,DOE,Number,Mean Cost,Mean Lead Time,Mean Quality,Risk,Effectivness,Average Iterations,First Pass Yield,Rel Cost Physical,Work Efficency,Average Consitency
Baseline,Baseline,,1395,113.1,0.804,18763.4,0.275,7.5,0.075,0.72,0.49,0.66
DOE3-1,DOE3,1,1427.6,129.8,0.799,39451.7,0.281,7.5,0.085,0.667,0.497,0.664
DOE3-10,DOE3,10,1402.7,127.9,0.801,34754,0.283,7.5,0.079,0.663,0.499,0.665
DOE3-11,DOE3,11,1435.9,131.7,0.802,40696.5,0.279,7.5,0.077,0.659,0.504,0.663
DOE3-12,DOE3,12,1484.7,136.4,0.81,49452.6,0.274,7.5,0.074,0.65,0.525,0.663
DOE3-13,DOE3,13,1414.7,129.7,0.802,39567.1,0.282,7.9,0.079,0.651,0.503,0.664
DOE3-14,DOE3,14,1450.7,133.6,0.805,41282.5,0.275,7.9,0.073,0.649,0.511,0.665
DOE3-15,DOE3,15,1482.6,135.9,0.8,49765.8,0.277,7.6,0.079,0.647,0.525,0.661
DOE3-16,DOE3,16,1378.6,125.2,0.804,30856.5,0.29,8.4,0.097,0.621,0.511,0.667
DOE3-17,DOE3,17,1423.5,132,0.799,40471.8,0.282,8.6,0.087,0.62,0.518,0.663
DOE3-18,DOE3,18,1467.2,135.1,0.803,47549.3,0.278,7.6,0.078,0.644,0.522,0.663
DOE3-19,DOE3,19,1278.2,117.9,0.81,19373.4,0.31,8.9,0.117,0.58,0.515,0.672
DOE3-2,DOE3,2,1478.4,135.5,0.803,50843.6,0.273,7.6,0.074,0.665,0.506,0.664
DOE3-20,DOE3,20,1301.2,120.3,0.802,23173,0.308,8.8,0.118,0.58,0.523,0.673
DOE3-21,DOE3,21,1481,136.6,0.805,51993.7,0.278,7.8,0.088,0.636,0.527,0.662
DOE3-22,DOE3,22,1155.8,108.4,0.812,10928.9,0.347,9,0.18,0.537,0.514,0.674
DOE3-23,DOE3,23,1164.7,108.9,0.814,14755.1,0.349,8.9,0.186,0.532,0.521,0.677
DOE3-25,DOE3,25,994.4,93.1,0.828,4455.9,0.405,8.6,0.292,0.488,0.51,0.676
DOE3-26,DOE3,26,1033.7,97.1,0.829,5383.4,0.391,8.8,0.256,0.491,0.517,0.672
DOE3-27,DOE3,27,1463.5,135.4,0.807,50885.8,0.279,8.6,0.085,0.605,0.537,0.665
DOE3-3,DOE3,3,1499.8,138.7,0.802,52732.8,0.272,7.6,0.072,0.651,0.526,0.662
DOE3-4,DOE3,4,1408.8,128.6,0.797,37552.3,0.284,7.4,0.082,0.666,0.496,0.662
DOE3-5,DOE3,5,1445.6,131.7,0.797,41949.5,0.277,7.5,0.079,0.663,0.506,0.663
DOE3-6,DOE3,6,1492.3,136.8,0.806,52919.1,0.275,7.6,0.075,0.651,0.524,0.666
DOE3-7,DOE3,7,1408.1,127.9,0.796,37125,0.284,7.4,0.081,0.666,0.497,0.665
DOE3-8,DOE3,8,1460.8,133,0.804,43180.4,0.274,7.5,0.071,0.665,0.507,0.664
DOE3-9,DOE3,9,1448.2,132.1,0.795,43204.7,0.283,7.4,0.087,0.646,0.522,0.662
DOE3-24,DOE3,24,1449.8,134.1,0.8,47603.4,0.284,8.1,0.094,0.62,0.531,0.664
DOE3-55,DOE3,55,1437.7,129.7,0.804,42248.2,0.273,7.6,0.081,0.681,0.522,0.664
DOE3-56,DOE3,56,1404.1,126.4,0.804,32975.9,0.28,7.4,0.074,0.672,0.527,0.664
DOE3-57,DOE3,57,1433,129.2,0.803,40223.9,0.28,7.4,0.077,0.657,0.545,0.666
DOE3-58,DOE3,58,1423.3,128,0.798,38824.3,0.28,7.5,0.087,0.678,0.519,0.659
DOE3-59,DOE3,59,1437.2,129.9,0.801,38879.3,0.275,7.6,0.074,0.674,0.528,0.665
DOE3-62,DOE3,62,1411.9,127.4,0.799,32234.5,0.278,7.5,0.078,0.671,0.528,0.665
DOE3-64,DOE3,64,1393.7,125.9,0.795,35724.5,0.285,7.5,0.091,0.671,0.519,0.658
DOE3-66,DOE3,66,1487.1,135.4,0.797,49189.9,0.272,7.5,0.079,0.661,0.549,0.663
DOE3-67,DOE3,67,1396.3,126,0.799,33138.3,0.284,7.8,0.087,0.662,0.526,0.664
DOE3-68,DOE3,68,1385.1,124.9,0.796,33492.9,0.287,7.8,0.092,0.653,0.53,0.663
DOE3-69,DOE3,69,1472.2,133.8,0.803,45856.1,0.272,7.7,0.068,0.659,0.547,0.661
DOE3-70,DOE3,70,1379.3,124.7,0.804,26984.9,0.282,8.4,0.084,0.64,0.534,0.668
DOE3-71,DOE3,71,1389.5,125.3,0.807,31300.5,0.285,8.4,0.09,0.631,0.54,0.668
DOE3-72,DOE3,72,1463.5,133.1,0.802,42238.1,0.275,7.6,0.08,0.656,0.546,0.663
DOE3-73,DOE3,73,1278.1,116.5,0.809,17123.3,0.305,8.9,0.112,0.597,0.54,0.672
DOE3-74,DOE3,74,1287.8,117.7,0.807,18248.5,0.304,9,0.109,0.587,0.547,0.67
DOE3-75,DOE3,75,1446.1,132.9,0.796,60167.2,0.283,7.8,0.092,0.646,0.549,0.666
DOE3-76,DOE3,76,1103.1,101.5,0.81,7996.8,0.355,8.9,0.203,0.538,0.536,0.673
DOE3-77,DOE3,77,1142.7,105.4,0.817,10338.2,0.345,9.1,0.174,0.542,0.543,0.675
DOE3-78,DOE3,78,1430.7,129.4,0.799,37652.4,0.282,8.1,0.093,0.632,0.554,0.661
DOE3-79,DOE3,79,968.1,89.8,0.829,2604.3,0.404,8.6,0.282,0.498,0.53,0.677
DOE3-80,DOE3,80,983,90.8,0.829,3291,0.402,8.6,0.29,0.496,0.535,0.673
DOE3-81,DOE3,81,1407.6,128,0.803,33681.1,0.284,8.4,0.087,0.615,0.558,0.667
DOE1-1,DOE1,1,1711,140.6,0.801,64794.9,0.288,6.9,0.074,0.642,0.603,0.66
DOE1-10,DOE1,10,1725.9,143.1,0.801,88557.6,0.288,7,0.079,0.641,0.604,0.661
DOE1-13,DOE1,13,1704.4,141.3,0.795,75568,0.288,7,0.076,0.641,0.602,0.664
DOE1-14,DOE1,14,1360,110.2,0.796,16362.7,0.282,7.4,0.079,0.717,0.487,0.66
DOE1-15,DOE1,15,1361,110.5,0.805,13715.5,0.266,7.6,0.072,0.743,0.459,0.663
DOE1-16,DOE1,16,1658.7,135.4,0.806,45602.4,0.294,7,0.078,0.636,0.595,0.664
DOE1-17,DOE1,17,1326.8,107.1,0.804,13761.8,0.288,7.6,0.083,0.71,0.481,0.659
DOE1-18,DOE1,18,1267.2,102.2,0.803,11611.1,0.29,7.6,0.089,0.726,0.449,0.658
DOE1-19,DOE1,19,1611.6,132.3,0.806,69051.5,0.305,7.1,0.076,0.629,0.591,0.659
DOE1-2,DOE1,2,1464.8,120.6,0.798,29975.4,0.263,7.1,0.073,0.736,0.495,0.665
DOE1-20,DOE1,20,1257.3,100.4,0.807,10184.1,0.31,7.7,0.105,0.695,0.47,0.654
DOE1-21,DOE1,21,1196.9,95.4,0.812,6079.4,0.309,7.8,0.102,0.713,0.439,0.657
DOE1-22,DOE1,22,1535.9,124.6,0.809,32263.3,0.32,6.9,0.094,0.62,0.583,0.654
DOE1-23,DOE1,23,1195.5,93.5,0.814,5334,0.324,7.9,0.101,0.682,0.463,0.651
DOE1-24,DOE1,24,1158.4,91.8,0.813,5294.6,0.32,8,0.105,0.702,0.43,0.649
DOE1-25,DOE1,25,1506.3,122.1,0.808,39275.5,0.327,7.1,0.098,0.615,0.58,0.655
DOE1-26,DOE1,26,1143.1,88.7,0.809,4905.7,0.344,8.1,0.14,0.667,0.454,0.649
DOE1-27,DOE1,27,1106,87.2,0.808,4546.4,0.341,8.1,0.132,0.687,0.421,0.647
DOE1-3,DOE1,3,1460.5,121.4,0.798,45785.1,0.254,7.3,0.069,0.757,0.465,0.662
DOE1-4,DOE1,4,1743.8,143.6,0.799,68271.6,0.282,7,0.074,0.644,0.605,0.665
DOE1-5,DOE1,5,1426.5,116.9,0.798,21500.3,0.267,7,0.073,0.734,0.493,0.664
DOE1-6,DOE1,6,1429,118.7,0.806,38413.1,0.254,7.3,0.065,0.756,0.464,0.662
DOE1-7,DOE1,7,1696.4,140.2,0.802,72725.1,0.291,6.9,0.08,0.64,0.602,0.663
DOE2-1,DOE2,1,2125.5,174,0.797,155730.1,0.234,10.7,0.071,0.613,0.291,0.442
DOE2-10,DOE2,10,1845.3,150.4,0.804,83764.5,0.247,9.4,0.078,0.65,0.343,0.517
DOE2-11,DOE2,11,1510.6,123.1,0.801,32774.6,0.264,8.4,0.079,0.701,0.451,0.594
DOE2-13,DOE2,13,1756.1,143.9,0.802,72660.8,0.249,9.2,0.07,0.664,0.368,0.548
DOE2-14,DOE2,14,1458.2,118.3,0.804,24228.9,0.269,7.9,0.076,0.712,0.468,0.628
DOE2-15,DOE2,15,1399.3,113.7,0.801,22296,0.275,7.6,0.078,0.719,0.49,0.651
DOE2-16,DOE2,16,1635.3,132.5,0.793,49017,0.262,8.6,0.085,0.675,0.391,0.566
DOE2-17,DOE2,17,1366.8,110.5,0.798,18964.6,0.281,7.5,0.086,0.718,0.488,0.659
DOE2-18,DOE2,18,1372.5,112.3,0.81,29553.3,0.275,7.4,0.073,0.73,0.51,0.693
DOE2-19,DOE2,19,1534.9,125.5,0.797,33045.7,0.267,8.3,0.081,0.69,0.423,0.589
DOE2-2,DOE2,2,1770.4,144.2,0.8,69249.2,0.239,10.3,0.074,0.678,0.406,0.452
DOE2-20,DOE2,20,1319.9,106.5,0.803,12971.4,0.285,7.1,0.081,0.728,0.51,0.69
DOE2-21,DOE2,21,1323.1,108,0.814,13318.8,0.28,6.9,0.067,0.74,0.53,0.725
DOE2-22,DOE2,22,1480.3,119.6,0.803,23534.3,0.265,8.2,0.073,0.707,0.459,0.612
DOE2-23,DOE2,23,1281.1,104.2,0.802,11851.3,0.287,6.8,0.078,0.739,0.536,0.721
DOE2-24,DOE2,24,1253.6,101.9,0.799,16508.6,0.29,6.6,0.08,0.745,0.551,0.751
DOE2-25,DOE2,25,1410.8,114.1,0.807,18458.1,0.266,7.9,0.073,0.728,0.507,0.636
DOE2-26,DOE2,26,1264.1,103.1,0.81,8365.5,0.282,6.6,0.072,0.753,0.566,0.745
DOE2-27,DOE2,27,1206.5,98.5,0.804,7792.9,0.296,6.2,0.083,0.754,0.572,0.777
DOE2-28,DOE2,28,1345.3,108.3,0.801,14032.3,0.268,7.6,0.071,0.749,0.562,0.653
DOE2-29,DOE2,29,1204.6,97.1,0.807,5732.5,0.291,6.3,0.08,0.762,0.592,0.768
DOE2-3,DOE2,3,1751.1,142.4,0.799,67912.2,0.237,10.5,0.073,0.692,0.433,0.453
DOE2-30,DOE2,30,1179.8,96.4,0.803,7670.5,0.296,6.1,0.078,0.764,0.596,0.796
DOE2-31,DOE2,31,1249.6,99.9,0.797,9027.3,0.281,7.4,0.088,0.765,0.621,0.677
DOE2-32,DOE2,32,1159.3,93.4,0.801,4745.9,0.297,6.1,0.086,0.77,0.621,0.784
DOE2-33,DOE2,33,1161.8,95.1,0.809,17348.2,0.294,6.1,0.073,0.773,0.62,0.815
DOE2-4,DOE2,4,1996.6,163,0.801,122263.8,0.245,10.1,0.082,0.621,0.304,0.467
DOE2-5,DOE2,5,1680.6,136.5,0.798,53367.2,0.247,9.6,0.076,0.687,0.419,0.504
DOE2-6,DOE2,6,1601.8,128.8,0.799,44673.3,0.256,9.3,0.084,0.694,0.443,0.514
DOE2-7,DOE2,7,1939.1,158.8,0.805,106377.8,0.243,9.9,0.073,0.637,0.323,0.495
DOE2-8,DOE2,8,1586.7,128,0.804,39284.4,0.258,8.9,0.074,0.693,0.432,0.548
DOE2-9,DOE2,9,1553.3,125.9,0.806,33076.3,0.257,8.8,0.073,0.706,0.459,0.567
DOE3-28,DOE3,28,1451.1,131.5,0.804,42567.1,0.274,7.6,0.075,0.675,0.51,0.662
DOE3-29,DOE3,29,1426.2,131.1,0.801,63761.9,0.281,7.8,0.078,0.665,0.516,0.663
DOE3-30,DOE3,30,1471,134.4,0.804,47192.1,0.275,7.5,0.078,0.654,0.536,0.665
DOE3-31,DOE3,31,1440.5,130.7,0.808,41835.6,0.274,7.6,0.071,0.675,0.51,0.664
DOE3-32,DOE3,32,1450.7,132.8,0.804,50407,0.274,7.7,0.074,0.668,0.517,0.66
DOE3-33,DOE3,33,1498.4,137,0.808,52646,0.269,7.6,0.068,0.657,0.536,0.664
DOE3-34,DOE3,34,1435.6,130.4,0.797,40555.3,0.275,7.5,0.072,0.675,0.51,0.662
DOE3-35,DOE3,35,1424.8,129.7,0.8,38207.6,0.279,7.5,0.079,0.667,0.516,0.663
DOE3-36,DOE3,36,1459.8,133.7,0.799,47761.4,0.278,7.5,0.082,0.652,0.534,0.663
DOE3-37,DOE3,37,1398,128,0.801,47952.8,0.287,7.7,0.087,0.666,0.508,0.66
DOE3-38,DOE3,38,1439.8,131,0.803,38372.4,0.275,7.6,0.074,0.667,0.519,0.664
DOE3-39,DOE3,39,1479.1,135.8,0.799,61885.2,0.276,7.7,0.085,0.653,0.536,0.662
DOE3-40,DOE3,40,1428.5,129.9,0.799,38525.5,0.277,7.9,0.076,0.659,0.516,0.662
DOE3-41,DOE3,41,1438.6,132.9,0.799,63535.5,0.282,8,0.095,0.65,0.522,0.664
DOE3-42,DOE3,42,1460.1,132.6,0.806,40418.7,0.275,7.6,0.075,0.653,0.535,0.66
DOE3-43,DOE3,43,1379.6,124.7,0.805,26018.7,0.283,8.4,0.079,0.632,0.523,0.667
DOE3-44,DOE3,44,1380.6,125,0.801,31075,0.289,8.3,0.102,0.624,0.528,0.665
DOE3-45,DOE3,45,1480,135.3,0.8,46627.3,0.274,7.6,0.081,0.65,0.536,0.661
DOE3-46,DOE3,46,1264.7,115.9,0.81,19371.8,0.314,8.8,0.135,0.585,0.526,0.672
DOE3-47,DOE3,47,1275.1,117.1,0.807,20230.9,0.311,8.9,0.115,0.582,0.532,0.672
DOE3-48,DOE3,48,1477.8,136,0.799,50039,0.274,7.8,0.076,0.644,0.538,0.665
DOE3-49,DOE3,49,1160.5,108.1,0.822,11413.6,0.341,9.1,0.161,0.545,0.527,0.675
DOE3-50,DOE3,50,1129.2,104.6,0.814,8724.2,0.351,8.8,0.181,0.536,0.53,0.675
DOE3-51,DOE3,51,1445.1,132.7,0.796,42793.8,0.28,8,0.091,0.629,0.541,0.665
DOE3-52,DOE3,52,990.5,92,0.829,3266,0.4,8.8,0.303,0.492,0.522,0.673
DOE3-53,DOE3,53,1006.7,94,0.829,4303.3,0.396,8.8,0.273,0.489,0.526,0.674
DOE3-54,DOE3,54,1430.4,131.3,0.8,40811.3,0.285,8.4,0.092,0.609,0.546,0.667
DOE1-11,DOE1,11.0,1437.3,117.6,0.806,26818.0,0.266,7.5,0.073,0.727,0.492,0.66
DOE1-12,DOE1,12.0,1372.0,111.3,0.808,15505.5,0.265,7.4,0.07,0.747,0.457,0.664
DOE1-9,DOE1,9.0,1396.4,114.8,0.796,31046.6,0.262,7.3,0.075,0.751,0.46,0.664
DOE3-60,DOE3,60.0,1444.2,131.3,0.81,41758.4,0.278,7.5,0.077,0.657,0.546,0.661
DOE3-61,DOE3,61.0,1383.7,124.2,0.793,31573.3,0.284,7.4,0.08,0.675,0.519,0.664
DOE3-63,DOE3,63.0,1447.4,132.8,0.795,79920.2,0.282,7.7,0.082,0.655,0.546,0.666
DOE3-65,DOE3,65,1380.6,124.9,0.795,34196.9,0.288,7.4,0.091,0.666,0.524,0.661
DOE1-8,DOE1,8.0,1423.2,116.7,0.8,22450.1,0.268,7.2,0.072,0.731,0.493,0.663
DOE2-12,DOE2,12,1445.1,117.1,0.805,22069.5,0.268,8.0,0.077,0.712,0.475,0.616