Name,DOE,Number,Mean Cost,Mean Lead Time,Risk,Effectivness,First Pass Yield,% Cost from physical Prot. / Test,Work Efficency,Average Consitency
DOE3-1,DOE3,1,3876.7,185.5,568346.7,0.215,0.068,0.532,0.294,0.235
DOE3-10,DOE3,10,3046.1,154.4,185880.1,0.23,0.065,0.558,0.354,0.318
DOE3-11,DOE3,11,1823.4,106.4,10254.1,0.263,0.075,0.627,0.573,0.46
DOE3-12,DOE3,12,1752.0,102.8,5103.1,0.264,0.074,0.634,0.602,0.461
DOE3-13,DOE3,13,2780.6,144.0,116927.3,0.238,0.072,0.566,0.38,0.338
DOE3-14,DOE3,14,1683.8,99.0,2543.6,0.275,0.082,0.629,0.592,0.507
DOE3-15,DOE3,15,1658.7,98.5,6859.1,0.27,0.073,0.639,0.619,0.509
DOE3-16,DOE3,16,2519.8,133.0,79349.5,0.246,0.074,0.577,0.411,0.362
DOE3-17,DOE3,17,1648.7,99.3,4774.9,0.273,0.083,0.642,0.617,0.556
DOE3-18,DOE3,18,1602.2,96.9,2396.0,0.273,0.076,0.649,0.64,0.557
DOE3-19,DOE3,19,2367.8,130.6,53179.2,0.241,0.067,0.595,0.452,0.386
DOE3-2,DOE3,2,2326.6,126.6,52563.5,0.225,0.062,0.619,0.524,0.254
DOE3-20,DOE3,20,1603.4,97.9,6954.5,0.273,0.076,0.654,0.643,0.601
DOE3-21,DOE3,21,1525.4,93.9,1052.3,0.28,0.079,0.657,0.661,0.6
DOE3-22,DOE3,22,2113.2,118.8,23491.3,0.248,0.068,0.606,0.501,0.407
DOE3-23,DOE3,23,1521.7,94.2,546.6,0.277,0.076,0.663,0.669,0.638
DOE3-24,DOE3,24,1463.6,90.7,2786.2,0.284,0.079,0.662,0.684,0.642
DOE3-25,DOE3,25,1888.8,109.3,10687.8,0.257,0.08,0.621,0.561,0.427
DOE3-26,DOE3,26,1451.1,91.8,474.9,0.283,0.081,0.674,0.696,0.675
DOE3-27,DOE3,27,1485.2,94.8,2403.7,0.272,0.066,0.681,0.712,0.676
DOE3-28,DOE3,28,1656.0,99.3,5015.1,0.261,0.08,0.64,0.638,0.452
DOE3-29,DOE3,29,1404.5,89.5,493.2,0.284,0.074,0.685,0.728,0.709
DOE3-3,DOE3,3,2164.9,118.5,33288.9,0.232,0.069,0.623,0.555,0.253
DOE3-30,DOE3,30,1402.9,89.9,968.6,0.282,0.079,0.686,0.734,0.703
DOE3-31,DOE3,31,1524.9,96.3,2221.6,0.255,0.07,0.669,0.739,0.471
DOE3-32,DOE3,32,1330.3,85.7,1142.0,0.291,0.087,0.689,0.752,0.724
DOE3-33,DOE3,33,1335.0,86.2,83.5,0.288,0.086,0.691,0.754,0.731
DOE3-4,DOE3,4,3559.6,173.3,376265.1,0.221,0.066,0.538,0.312,0.264
DOE3-5,DOE3,5,2082.4,115.5,24009.1,0.243,0.072,0.618,0.538,0.339
DOE3-6,DOE3,6,1969.0,109.9,12640.4,0.247,0.071,0.625,0.569,0.341
DOE3-7,DOE3,7,3372.6,167.6,291845.8,0.22,0.067,0.551,0.332,0.291
DOE3-8,DOE3,8,1951.0,111.0,24115.3,0.253,0.074,0.62,0.556,0.405
DOE3-9,DOE3,9,1828.6,104.4,5441.9,0.258,0.072,0.627,0.584,0.408
DOE1-1,DOE1,1,2626.9,180.8,310965.4,0.301,0.069,0.445,0.802,0.542
DOE1-10,DOE1,10,2608.6,178.6,287763.4,0.303,0.077,0.444,0.801,0.539
DOE1-11,DOE1,11,1647.6,98.8,5545.6,0.274,0.082,0.643,0.616,0.555
DOE1-12,DOE1,12,1563.8,93.3,1136.7,0.269,0.081,0.673,0.574,0.558
DOE1-13,DOE1,13,2611.7,179.3,303641.0,0.303,0.077,0.445,0.801,0.54
DOE1-14,DOE1,14,1670.3,100.9,5264.5,0.27,0.07,0.644,0.618,0.555
DOE1-15,DOE1,15,1534.8,90.9,594.1,0.274,0.085,0.668,0.572,0.559
DOE1-16,DOE1,16,2608.0,178.0,270693.3,0.303,0.075,0.444,0.801,0.536
DOE1-17,DOE1,17,1627.2,97.5,6958.2,0.276,0.077,0.638,0.618,0.559
DOE1-18,DOE1,18,1541.0,91.1,1643.3,0.273,0.083,0.666,0.573,0.552
DOE1-19,DOE1,19,2620.2,180.5,321814.3,0.302,0.08,0.445,0.802,0.539
DOE1-2,DOE1,2,1696.8,103.1,4187.2,0.264,0.065,0.653,0.617,0.553
DOE1-20,DOE1,20,1643.2,98.7,4681.2,0.274,0.075,0.638,0.617,0.555
DOE1-21,DOE1,21,1544.5,92.0,6545.3,0.274,0.087,0.665,0.573,0.555
DOE1-22,DOE1,22,2595.4,178.5,287997.0,0.305,0.079,0.444,0.801,0.543
DOE1-23,DOE1,23,1565.0,93.4,2483.6,0.288,0.093,0.629,0.613,0.554
DOE1-24,DOE1,24,1534.5,91.3,738.8,0.275,0.083,0.664,0.572,0.553
DOE1-25,DOE1,25,2611.7,180.1,311194.5,0.304,0.084,0.445,0.801,0.541
DOE1-26,DOE1,26,1601.3,96.6,2640.3,0.279,0.085,0.633,0.614,0.555
DOE1-27,DOE1,27,1495.0,88.4,632.9,0.281,0.087,0.656,0.57,0.553
DOE1-3,DOE1,3,1579.1,94.5,1948.8,0.265,0.068,0.679,0.573,0.554
DOE1-4,DOE1,4,2629.6,180.0,294941.1,0.3,0.072,0.447,0.802,0.542
DOE1-5,DOE1,5,1681.4,101.7,4021.6,0.266,0.067,0.651,0.616,0.552
DOE1-6,DOE1,6,1632.9,98.2,3752.5,0.257,0.066,0.682,0.575,0.555
DOE1-7,DOE1,7,2606.4,177.9,312384.3,0.306,0.081,0.445,0.8,0.537
DOE1-8,DOE1,8,1662.0,100.1,4217.1,0.27,0.072,0.648,0.617,0.553
DOE1-9,DOE1,9,1578.8,94.1,4865.4,0.265,0.075,0.677,0.573,0.555
DOE2-1,DOE2,1,1687.6,120.4,21502.8,0.277,0.073,0.578,0.633,0.559
DOE2-10,DOE2,10,1631.0,117.1,13429.1,0.284,0.082,0.565,0.636,0.572
DOE2-11,DOE2,11,1677.8,121.8,21925.6,0.281,0.087,0.558,0.645,0.569
DOE2-12,DOE2,12,1809.5,132.9,39247.0,0.271,0.065,0.551,0.667,0.557
DOE2-13,DOE2,13,1618.3,117.1,16977.2,0.284,0.077,0.55,0.643,0.591
DOE2-14,DOE2,14,1637.3,119.0,19967.6,0.285,0.084,0.54,0.651,0.587
DOE2-15,DOE2,15,1780.8,131.5,45807.7,0.276,0.078,0.546,0.665,0.558
DOE2-16,DOE2,16,1500.8,109.2,5483.6,0.304,0.099,0.516,0.644,0.593
DOE2-17,DOE2,17,1530.5,111.7,5296.0,0.301,0.103,0.511,0.652,0.595
DOE2-18,DOE2,18,1734.7,128.4,35906.3,0.282,0.086,0.536,0.667,0.562
DOE2-19,DOE2,19,1424.8,104.4,4256.2,0.318,0.138,0.487,0.644,0.59
DOE2-2,DOE2,2,1711.0,122.9,20326.0,0.276,0.077,0.572,0.641,0.559
DOE2-20,DOE2,20,1449.7,106.8,2097.4,0.318,0.147,0.485,0.65,0.593
DOE2-21,DOE2,21,1750.2,129.7,26758.2,0.279,0.083,0.533,0.67,0.57
DOE2-22,DOE2,22,1297.5,95.0,2673.2,0.351,0.238,0.449,0.638,0.579
DOE2-23,DOE2,23,1342.0,99.5,1411.1,0.343,0.217,0.446,0.646,0.582
DOE2-24,DOE2,24,1712.8,127.1,21969.0,0.283,0.087,0.522,0.672,0.58
DOE2-25,DOE2,25,1227.9,90.9,1018.4,0.37,0.285,0.426,0.634,0.569
DOE2-26,DOE2,26,1249.6,92.5,2880.8,0.365,0.269,0.422,0.639,0.57
DOE2-27,DOE2,27,1691.9,125.6,23548.0,0.286,0.091,0.511,0.675,0.59
DOE2-3,DOE2,3,1794.3,132.6,32482.7,0.272,0.076,0.548,0.667,0.557
DOE2-4,DOE2,4,1694.2,121.4,20089.8,0.275,0.072,0.579,0.633,0.559
DOE2-5,DOE2,5,1687.3,121.3,16229.9,0.279,0.077,0.569,0.64,0.557
DOE2-6,DOE2,6,1779.6,130.7,29106.2,0.276,0.081,0.546,0.666,0.558
DOE2-7,DOE2,7,1682.0,119.9,11894.1,0.277,0.077,0.577,0.633,0.557
DOE2-8,DOE2,8,1701.6,122.1,16529.7,0.276,0.075,0.57,0.641,0.559
DOE2-9,DOE2,9,1785.5,131.3,37016.9,0.275,0.075,0.548,0.665,0.559
DOE3.1-1,DOE3.1,1,1711.0,101.0,4558.2,0.278,0.08,0.58,0.622,0.556
DOE3.1-10,DOE3.1,10,1740.6,102.6,3011.8,0.272,0.084,0.58,0.626,0.568
DOE3.1-11,DOE3.1,11,1758.3,103.0,7793.8,0.273,0.08,0.573,0.634,0.569
DOE3.1-12,DOE3.1,12,1834.4,106.5,7576.4,0.271,0.076,0.556,0.654,0.562
DOE3.1-13,DOE3.1,13,1712.3,98.9,3876.0,0.276,0.098,0.571,0.631,0.586
DOE3.1-14,DOE3.1,14,1739.3,99.8,2277.4,0.273,0.083,0.568,0.638,0.588
DOE3.1-15,DOE3.1,15,1792.4,103.8,3676.7,0.279,0.087,0.552,0.652,0.555
DOE3.1-16,DOE3.1,16,1691.8,95.5,6300.1,0.279,0.088,0.564,0.632,0.587
DOE3.1-17,DOE3.1,17,1680.0,93.8,1856.2,0.283,0.101,0.556,0.639,0.588
DOE3.1-18,DOE3.1,18,1832.8,106.2,12007.4,0.271,0.071,0.556,0.655,0.559
DOE3.1-19,DOE3.1,19,1629.3,89.1,711.3,0.288,0.114,0.551,0.632,0.587
DOE3.1-2,DOE3.1,2,1772.7,104.1,6220.5,0.271,0.075,0.578,0.631,0.559
DOE3.1-20,DOE3.1,20,1664.6,91.3,1543.1,0.284,0.102,0.55,0.639,0.59
DOE3.1-21,DOE3.1,21,1826.9,105.2,7527.3,0.272,0.075,0.554,0.655,0.566
DOE3.1-22,DOE3.1,22,1593.6,86.5,1515.3,0.294,0.123,0.542,0.629,0.578
DOE3.1-23,DOE3.1,23,1580.4,84.8,397.1,0.301,0.146,0.534,0.635,0.58
DOE3.1-24,DOE3.1,24,1835.3,104.5,8372.5,0.271,0.073,0.553,0.658,0.576
DOE3.1-25,DOE3.1,25,1503.2,79.7,201.4,0.313,0.175,0.524,0.624,0.568
DOE3.1-26,DOE3.1,26,1572.5,83.6,893.5,0.306,0.156,0.526,0.632,0.566
DOE3.1-27,DOE3.1,27,1828.6,103.3,6822.8,0.271,0.079,0.551,0.661,0.588
DOE3.1-3,DOE3.1,3,1843.9,107.0,5120.3,0.27,0.071,0.557,0.655,0.556
DOE3.1-4,DOE3.1,4,1745.5,104.2,4432.7,0.272,0.076,0.583,0.623,0.561
DOE3.1-5,DOE3.1,5,1754.3,103.0,8706.7,0.274,0.074,0.575,0.63,0.558
DOE3.1-6,DOE3.1,6,1813.1,105.6,8176.1,0.277,0.08,0.553,0.653,0.562
DOE3.1-7,DOE3.1,7,1759.2,104.3,9378.3,0.273,0.078,0.583,0.623,0.561
DOE3.1-8,DOE3.1,8,1765.4,103.6,4103.1,0.273,0.078,0.576,0.631,0.56
DOE3.1-9,DOE3.1,9,1833.3,106.2,12824.5,0.272,0.067,0.555,0.654,0.558
DOE3.2-1,DOE3.2,1,1687.6,101.5,5469.0,0.275,0.083,0.594,0.642,0.556
DOE3.2-10,DOE3.2,10,1658.1,98.6,2163.0,0.28,0.086,0.586,0.645,0.569
DOE3.2-11,DOE3.2,11,1722.1,102.6,6444.6,0.273,0.082,0.585,0.654,0.567
DOE3.2-12,DOE3.2,12,1810.5,106.1,14793.1,0.272,0.076,0.566,0.673,0.552
DOE3.2-13,DOE3.2,13,1675.8,97.8,3180.0,0.274,0.087,0.582,0.652,0.584
DOE3.2-14,DOE3.2,14,1688.2,97.6,2779.9,0.276,0.09,0.576,0.657,0.585
DOE3.2-15,DOE3.2,15,1786.7,104.3,4201.4,0.272,0.077,0.564,0.673,0.557
DOE3.2-16,DOE3.2,16,1650.2,93.4,1412.0,0.279,0.104,0.574,0.653,0.59
DOE3.2-17,DOE3.2,17,1680.2,94.7,5187.8,0.277,0.096,0.569,0.66,0.591
DOE3.2-18,DOE3.2,18,1772.6,103.3,6733.2,0.276,0.085,0.562,0.673,0.561
DOE3.2-19,DOE3.2,19,1614.4,90.0,1661.1,0.284,0.106,0.564,0.652,0.586
DOE3.2-2,DOE3.2,2,1736.8,103.8,3565.6,0.27,0.072,0.59,0.652,0.561
DOE3.2-20,DOE3.2,20,1632.4,90.6,1840.0,0.286,0.118,0.557,0.658,0.586
DOE3.2-21,DOE3.2,21,1781.8,103.7,9585.1,0.274,0.08,0.562,0.676,0.571
DOE3.2-22,DOE3.2,22,1539.1,84.6,407.1,0.299,0.137,0.549,0.647,0.577
DOE3.2-23,DOE3.2,23,1541.9,83.5,624.7,0.299,0.139,0.541,0.654,0.577
DOE3.2-24,DOE3.2,24,1769.8,101.0,5605.7,0.275,0.088,0.56,0.677,0.578
DOE3.2-25,DOE3.2,25,1463.9,79.1,339.0,0.316,0.185,0.533,0.643,0.571
DOE3.2-26,DOE3.2,26,1499.9,80.1,398.4,0.31,0.175,0.531,0.649,0.568
DOE3.2-27,DOE3.2,27,1806.0,102.6,6441.9,0.268,0.081,0.562,0.681,0.588
DOE3.2-3,DOE3.2,3,1809.7,105.7,5676.6,0.269,0.075,0.567,0.674,0.558
DOE3.2-4,DOE3.2,4,1681.7,100.3,2929.3,0.275,0.071,0.593,0.642,0.556
DOE3.2-5,DOE3.2,5,1696.9,100.8,4910.0,0.277,0.082,0.586,0.649,0.555
DOE3.2-6,DOE3.2,6,1794.7,104.6,6214.7,0.272,0.081,0.566,0.673,0.558
DOE3.2-7,DOE3.2,7,1723.3,103.7,5052.4,0.269,0.077,0.598,0.645,0.562
DOE3.2-8,DOE3.2,8,1677.6,99.6,5448.4,0.279,0.075,0.584,0.649,0.556
DOE3.2-9,DOE3.2,9,1823.8,106.9,8739.1,0.267,0.073,0.568,0.675,0.561
